#                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NS3_Pestivirus_i=20_n=21     -            683 PV346698.1           -           3899         0 1289.9   0.1   1   1         0         0 1289.5   0.1     1   683  1590  2272  1590  2272 1.00 -
RdRp_Pestivirus_i=18_n=21    -            717 PV346698.1           -           3899         0 1267.0   0.1   1   1         0         0 1266.6   0.1     1   715  3180  3894  3180  3896 1.00 -
NS5A_Pestivirus_i=36_n=16    -            498 PV346698.1           -           3899  3.6e-227  747.0   0.0   1   1  1.2e-227  4.7e-227  746.6   0.0     1   498  2684  3179  2684  3179 0.99 -
NS2_Pestivirus_i=35_n=16     -            454 PV346698.1           -           3899  9.8e-205  672.5   3.4   1   1  3.4e-205  1.3e-204  672.1   3.4     7   454  1143  1589  1137  1589 0.99 -
NS4B_Pestivirus_i=23_n=21    -            347 PV346698.1           -           3899  1.1e-173  569.3   0.4   1   1  5.3e-174    2e-173  568.5   0.2     3   347  2339  2683  2337  2683 0.99 -
E2_Pestivirus_i=24_n=21      -            374 PV346698.1           -           3899  3.7e-160  525.6   2.6   1   1  1.9e-160  7.3e-160  524.6   2.6     3   373   695  1065   693  1066 0.99 -
RNAse_Pestivirus_i=26_n=21   -            227 PV346698.1           -           3899  5.8e-112  365.1   3.9   1   1  2.5e-112  9.6e-112  364.4   3.9     1   227   271   497   271   497 0.99 -
E1_Pestivirus_i=27_n=21      -            198 PV346698.1           -           3899   4.4e-92  299.6   0.7   1   1   2.1e-92   8.2e-92  298.8   0.7     1   198   498   692   498   692 0.99 -
N-Pro_Pestivirus_i=32_n=18   -            168 PV346698.1           -           3899     3e-80  260.0   0.1   1   1   1.3e-80   5.2e-80  259.3   0.1     1   168     1   168     1   168 1.00 -
C_Pestivirus_i=28_n=21       -            101 PV346698.1           -           3899   8.6e-45  143.2   6.3   1   1   4.7e-45   1.8e-44  142.2   6.3     2    98   171   267   167   270 0.94 -
NS4A_Pestivirus_i=29_n=21    -             64 PV346698.1           -           3899   1.2e-31  100.9   0.1   1   1   6.9e-32   2.7e-31   99.8   0.1     1    63  2273  2335  2273  2336 0.98 -
NS3_Pegivirus_i=21_n=21      -            629 PV346698.1           -           3899   1.3e-31  101.7   3.9   1   1   5.4e-32   2.1e-31  101.0   3.9   101   482  1710  2111  1649  2116 0.77 -
NS3_Hepacivirus_i=11_n=26    -            627 PV346698.1           -           3899     8e-28   89.2   5.2   1   1   3.2e-28   1.3e-27   88.6   5.2    47   482  1648  2113  1635  2119 0.73 -
NS5A_Pestivirus_i=58_n=3     -            487 PV346698.1           -           3899   5.8e-25   79.7   0.0   1   1   2.6e-25   9.9e-25   78.9   0.0     1   472  2684  3159  2684  3172 0.80 -
p7_Pestivirus_i=38_n=16      -             70 PV346698.1           -           3899   2.5e-24   77.2   3.0   1   1   1.5e-24   5.7e-24   76.1   3.0     2    70  1068  1136  1067  1136 0.97 -
NS2_Pestivirus_i=57_n=3      -            456 PV346698.1           -           3899   4.9e-22   70.4   0.5   1   1     2e-22   7.8e-22   69.7   0.5   215   456  1346  1589  1332  1589 0.82 -
NS3_Orthoflavivirus_i=1_n=57 -            621 PV346698.1           -           3899     1e-17   55.9   0.3   1   1   4.7e-18   1.8e-17   55.0   0.3   111   468  1725  2101  1711  2120 0.73 -
RdRp_Hepacivirus_i=10_n=26   -            594 PV346698.1           -           3899   2.2e-15   48.2   0.0   1   1   8.8e-16   3.4e-15   47.6   0.0   107   399  3407  3706  3343  3717 0.77 -
RdRp_Pegivirus_i=19_n=21     -            569 PV346698.1           -           3899   2.3e-13   41.4   0.0   1   1     1e-13   3.9e-13   40.7   0.0    42   413  3346  3748  3334  3761 0.74 -
