#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Cluster_20_aln       -            683 PX447283.1           -           3899         0 1363.5   0.1   1   1         0         0 1363.0   0.1     1   683  1590  2272  1590  2272 1.00 -
Cluster_18_aln       -            717 PX447283.1           -           3899         0 1322.5   4.6   1   1         0         0 1322.1   4.6     1   716  3181  3895  3181  3896 0.99 -
Cluster_36_aln       -            498 PX447283.1           -           3899  1.5e-253  834.0   0.1   1   1  5.9e-254  2.2e-253  833.5   0.1     1   498  2684  3180  2684  3180 1.00 -
Cluster_35_aln       -            454 PX447283.1           -           3899  1.4e-225  741.2   5.9   1   1  5.9e-226  2.1e-225  740.6   5.9     8   454  1144  1589  1138  1589 0.99 -
Cluster_23_aln       -            347 PX447283.1           -           3899  2.1e-189  621.0   2.5   1   1  5.8e-190  2.1e-189  621.0   2.5     2   347  2338  2683  2337  2683 1.00 -
Cluster_24_aln       -            374 PX447283.1           -           3899  1.3e-173  569.8   0.2   1   1  8.1e-174    3e-173  568.7   0.2     2   373   691  1061   690  1062 0.99 -
Cluster_26_aln       -            227 PX447283.1           -           3899  5.7e-121  394.6   1.9   1   1  3.8e-121  1.4e-120  393.3   1.9     1   227   268   494   268   494 0.99 -
Cluster_27_aln       -            198 PX447283.1           -           3899   1.7e-98  320.6   0.3   1   1   1.1e-98   4.2e-98  319.3   0.3     2   198   496   689   495   689 0.99 -
Cluster_32_aln       -            168 PX447283.1           -           3899   5.8e-86  278.6   0.0   1   1   3.8e-86   1.4e-85  277.4   0.0     1   168     1   168     1   168 1.00 -
Cluster_28_aln       -            101 PX447283.1           -           3899   1.4e-47  152.1   5.2   1   1   8.3e-48   3.1e-47  151.1   5.2     1   100   167   266   167   267 0.97 -
Cluster_21_aln       -            629 PX447283.1           -           3899   1.1e-36  118.5   2.2   1   1   4.9e-37   1.8e-36  117.7   2.2    99   480  1708  2109  1614  2116 0.79 -
Cluster_38_aln       -             70 PX447283.1           -           3899   1.1e-35  113.6   1.8   1   1     3e-36   1.1e-35  113.6   1.8     3    70  1065  1132  1063  1132 0.98 -
Cluster_29_aln       -             64 PX447283.1           -           3899   1.1e-35  113.8   0.2   1   1   7.5e-36   2.7e-35  112.6   0.2     1    64  2273  2336  2273  2336 0.99 -
Cluster_11_aln       -            627 PX447283.1           -           3899   1.8e-34  111.1   4.4   1   1     8e-35   2.9e-34  110.5   4.4    47   479  1648  2110  1632  2118 0.74 -
Cluster_58_aln       -            487 PX447283.1           -           3899   9.1e-33  105.4   0.0   1   1   4.5e-33   1.7e-32  104.6   0.0     1   478  2684  3166  2684  3176 0.80 -
Cluster_57_aln       -            456 PX447283.1           -           3899   6.2e-28   89.8   8.6   1   1     9e-28   3.3e-27   87.4   8.7   143   456  1268  1589  1144  1589 0.76 -
Cluster_10_aln       -            594 PX447283.1           -           3899   2.1e-22   71.4   0.2   1   1   1.1e-22   3.9e-22   70.5   0.2   106   400  3407  3708  3335  3719 0.79 -
Cluster_1_aln        -            621 PX447283.1           -           3899   2.2e-21   68.0   0.1   1   1     1e-21   3.7e-21   67.2   0.1   109   468  1723  2101  1643  2120 0.76 -
