Accession,GenBank_RefSeq,Assembly,Organism_Name,Species,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,USA,Host,Tissue_Specimen_Source,Submitters,Organization,Org_location,Collection_Date,Release_Date,Molecule_type
PP854293,GenBank,,Bovine viral diarrhea virus 2,Pestivirus tauri,,2b,12229,complete,China,,Bos taurus,oronasopharynx,"Yin,X., Sun,C., Liu,J.","Harbin Veterinary Research Institute (HVRI), Livestock Infectious Diseases Research Team",China,2023-07-17,2025-10-11,ssRNA(+)
PX447283,GenBank,,Classical swine fever virus,Pestivirus suis,,CSF.QN7,12237,complete,Viet Nam: Quang Ninh,,Sus scrofa,,"Doan,T.T.H., Do,T.R., Nguyen,T.K., Nguyen,T.T.H., Le,T.K.X., Le,T.H., Luu,M.D.","Institute of Biology - Vietnam Academy of Science and Technology, Department of Biochemistry and Immunology-IB-VAST",,2023,2025-10-11,ssRNA(+)
PX445908,GenBank,,Bovine viral diarrhea virus 1,Pestivirus bovis,1c,,12163,partial,China,,Bos taurus,,"Jing,W.","Zhe Jiang A&F University, College of Veterinary Medicine",China,2017,2025-10-08,ssRNA(+)
PX423613,GenBank,,Bovine viral diarrhea virus 1,Pestivirus bovis,,XZ74,12134,partial,China,,Bos grunniens,feces,"Zhong,Y.","Xizang Agricultural and Animal Husbandry University, College of Animal Science",China,2024-06,2025-10-06,ssRNA(+)
PX395944,GenBank,,Classical swine fever virus,Pestivirus suis,,,12301,complete,Viet Nam: Ha Noi,,Sus scrofa,abdominal cavity,"Doan,T.T.H., Do,T.R., Nguyen,T.K., Nguyen,T.T.H., Luu,M.D., Le,T.H., Le,T.K.X.","Institute of Biology - Vietnam Academy of Science and Technology, Department of Biochemistry and Immunology-IB-VAST",,2023,2025-10-01,ssRNA(+)
PV346698,GenBank,,Bovine viral diarrhea virus 1,Pestivirus bovis,,ARD410730,12065,partial,Senegal,,,,"Sene,O.","Institut Pasteur, Dakar, Virology",Senegal,2022-10-26,2025-09-25,ssRNA(+)
PV346706,GenBank,,Bovine viral diarrhea virus 1,Pestivirus bovis,,ARD410701,12064,partial,Senegal,,,,"Sene,O.","Institut Pasteur, Dakar, Virology",Senegal,2022-10-25,2025-09-25,ssRNA(+)
PV346707,GenBank,,Bovine viral diarrhea virus 1,Pestivirus bovis,,ARD408157,12064,partial,Senegal,,,,"Sene,O.","Institut Pasteur, Dakar, Virology",Senegal,2022-10-21,2025-09-25,ssRNA(+)
PV346708,GenBank,,Bovine viral diarrhea virus 1,Pestivirus bovis,,ARD407607,12064,partial,Senegal,,,,"Sene,O.","Institut Pasteur, Dakar, Virology",Senegal,2022-10-10,2025-09-25,ssRNA(+)
PV346709,GenBank,,Bovine viral diarrhea virus 1,Pestivirus bovis,,ARD408047,12064,partial,Senegal,,,,"Sene,O.","Institut Pasteur, Dakar, Virology",Senegal,2022-10-14,2025-09-25,ssRNA(+)
PV346710,GenBank,,Bovine viral diarrhea virus 1,Pestivirus bovis,,ARD407991,12064,partial,Senegal,,,,"Sene,O.","Institut Pasteur, Dakar, Virology",Senegal,2022-10-13,2025-09-25,ssRNA(+)
PV346711,GenBank,,Bovine viral diarrhea virus 1,Pestivirus bovis,,ARD410779,12064,partial,Senegal,,,,"Sene,O.","Institut Pasteur, Dakar, Virology",Senegal,2022-10-26,2025-09-25,ssRNA(+)
PV346712,GenBank,,Bovine viral diarrhea virus 1,Pestivirus bovis,,ARD410763,12064,partial,Senegal,,,,"Sene,O.","Institut Pasteur, Dakar, Virology",Senegal,2022-10-26,2025-09-25,ssRNA(+)
PV346713,GenBank,,Bovine viral diarrhea virus 1,Pestivirus bovis,,ARD407778,12064,partial,Senegal,,,,"Sene,O.","Institut Pasteur, Dakar, Virology",Senegal,2022,2025-09-25,ssRNA(+)
PV346714,GenBank,,Bovine viral diarrhea virus 1,Pestivirus bovis,,ARD408080,12064,partial,Senegal,,,,"Sene,O.","Institut Pasteur, Dakar, Virology",Senegal,2022-10-14,2025-09-25,ssRNA(+)
PV346715,GenBank,,Bovine viral diarrhea virus 1,Pestivirus bovis,,ARD408029,12064,partial,Senegal,,,,"Sene,O.","Institut Pasteur, Dakar, Virology",Senegal,2022-10-14,2025-09-25,ssRNA(+)
PV346716,GenBank,,Bovine viral diarrhea virus 1,Pestivirus bovis,,ARD410758,12064,partial,Senegal,,,,"Sene,O.","Institut Pasteur, Dakar, Virology",Senegal,2022-10-26,2025-09-25,ssRNA(+)
PX236819,GenBank,,Ferret pestivirus,Ferret pestivirus,,M15,11454,partial,New Zealand,,Mustela putorius furo,,"French,R.K.","University of Otago, Microbiology & Immunology",New Zealand,2021,2025-09-24,ssRNA(+)
PX236820,GenBank,,Ferret pestivirus,Ferret pestivirus,,M16,11566,partial,New Zealand,,Mustela putorius furo,,"French,R.K.","University of Otago, Microbiology & Immunology",New Zealand,2021,2025-09-24,ssRNA(+)
PX236821,GenBank,,Ferret pestivirus,Ferret pestivirus,,M17,11460,partial,New Zealand,,Mustela putorius furo,,"French,R.K.","University of Otago, Microbiology & Immunology",New Zealand,2021,2025-09-24,ssRNA(+)
PX236822,GenBank,,Ferret pestivirus,Ferret pestivirus,,M20,11226,partial,New Zealand,,Mustela putorius furo,,"French,R.K.","University of Otago, Microbiology & Immunology",New Zealand,2021,2025-09-24,ssRNA(+)
PX275358,GenBank,,Bovine viral diarrhea virus 1,Pestivirus bovis,1a,Bovax,12577,complete,New Zealand,,Bos taurus,,"Dunowska,M., Bond,S., Gray,H., Biggs,P.","Massey University, School of Veterinary Science",New Zealand,1967,2025-09-24,ssRNA(+)
PX275359,GenBank,,Bovine viral diarrhea virus 1,Pestivirus bovis,1a,28326,12312,complete,New Zealand,,Bos taurus,,"Dunowska,M., Bond,S., Gray,H., Biggs,P.","Massey University, School of Veterinary Science",New Zealand,1997,2025-09-24,ssRNA(+)
PX121309,GenBank,,Bovine viral diarrhea virus 2,Pestivirus tauri,,IT/2005_206041,12266,partial,Italy,,Bos taurus,,"Sozzi,E., Chiapponi,C., Leo,G., Lelli,D., Trogu,T., Tolini,C., Carrera,M., Alborali,G.L., Bazzucchi,M., Moreno,A.","IZSLER, Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna",Italy,2005,2025-08-19,ssRNA(+)
PX121310,GenBank,,Bovine viral diarrhea virus 2,Pestivirus tauri,,IT/2015_277457-2,12336,partial,Italy,,Bos taurus,,"Sozzi,E., Chiapponi,C., Leo,G., Lelli,D., Trogu,T., Tolini,C., Carrera,M., Alborali,G.L., Bazzucchi,M., Moreno,A.","IZSLER, Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna",Italy,2015,2025-08-19,ssRNA(+)
PX121311,GenBank,,Bovine viral diarrhea virus 2,Pestivirus tauri,,IT/2016_169121,12279,partial,Italy,,Bos taurus,,"Sozzi,E., Chiapponi,C., Leo,G., Lelli,D., Trogu,T., Tolini,C., Carrera,M., Alborali,G.L., Bazzucchi,M., Moreno,A.","IZSLER, Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna",Italy,2016,2025-08-19,ssRNA(+)
PX121312,GenBank,,Bovine viral diarrhea virus 2,Pestivirus tauri,,IT/2018_64643,12267,partial,Italy,,Bos taurus,,"Sozzi,E., Chiapponi,C., Leo,G., Lelli,D., Trogu,T., Tolini,C., Carrera,M., Alborali,G.L., Bazzucchi,M., Moreno,A.","IZSLER, Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna",Italy,2018,2025-08-19,ssRNA(+)
PV945811,GenBank,,Bovine viral diarrhea virus 1,Pestivirus bovis,1m,Gansu1,12265,complete,China,,Bos taurus,blood,"Liu,Z.J., Mo,Y.L., Li,C., Cao,X.A., Shang,Y.J.","Lanzhou Veterinary Research Institute, Chinese Academy of Agricultural Sciences, State Key Laboratory for Animal Disease Control and Prevention",China,2025,2025-08-05,ssRNA(+)
