Accession,GenBank_RefSeq,Assembly,Organism_Name,Species,Isolate,Length,Nuc_Completeness,Geo_Location,USA,Host,Tissue_Specimen_Source,Submitters,Organization,Org_location,Collection_Date,Release_Date
PP854293,GenBank,NA,Bovine viral diarrhea virus 2,Pestivirus tauri,2b,12229,complete,China,NA,Bos taurus,oronasopharynx,"Yin,X., Sun,C., Liu,J.","Harbin Veterinary Research Institute (HVRI), Livestock Infectious Diseases Research Team",China,2023-07-17,2025-10-11
PX447283,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSF.QN7,12237,complete,Viet Nam: Quang Ninh,NA,Sus scrofa,NA,"Doan,T.T.H., Do,T.R., Nguyen,T.K., Nguyen,T.T.H., Le,T.K.X., Le,T.H., Luu,M.D.","Institute of Biology - Vietnam Academy of Science and Technology, Department of Biochemistry and Immunology-IB-VAST",NA,2023,2025-10-11
PX445908,GenBank,NA,Bovine viral diarrhea virus 1,Pestivirus bovis,NA,12163,partial,China,NA,Bos taurus,NA,"Jing,W.","Zhe Jiang A&F University, College of Veterinary Medicine",China,2017,2025-10-08
PX423613,GenBank,NA,Bovine viral diarrhea virus 1,Pestivirus bovis,XZ74,12134,partial,China,NA,Bos grunniens,feces,"Zhong,Y.","Xizang Agricultural and Animal Husbandry University, College of Animal Science",China,2024-06,2025-10-06
PX395944,GenBank,NA,Classical swine fever virus,Pestivirus suis,NA,12301,complete,Viet Nam: Ha Noi,NA,Sus scrofa,abdominal cavity,"Doan,T.T.H., Do,T.R., Nguyen,T.K., Nguyen,T.T.H., Luu,M.D., Le,T.H., Le,T.K.X.","Institute of Biology - Vietnam Academy of Science and Technology, Department of Biochemistry and Immunology-IB-VAST",NA,2023,2025-10-01
PV346698,GenBank,NA,Bovine viral diarrhea virus 1,Pestivirus bovis,ARD410730,12065,partial,Senegal,NA,NA,NA,"Sene,O.","Institut Pasteur, Dakar, Virology",Senegal,2022-10-26,2025-09-25
PV346706,GenBank,NA,Bovine viral diarrhea virus 1,Pestivirus bovis,ARD410701,12064,partial,Senegal,NA,NA,NA,"Sene,O.","Institut Pasteur, Dakar, Virology",Senegal,2022-10-25,2025-09-25
PV346707,GenBank,NA,Bovine viral diarrhea virus 1,Pestivirus bovis,ARD408157,12064,partial,Senegal,NA,NA,NA,"Sene,O.","Institut Pasteur, Dakar, Virology",Senegal,2022-10-21,2025-09-25
PV346708,GenBank,NA,Bovine viral diarrhea virus 1,Pestivirus bovis,ARD407607,12064,partial,Senegal,NA,NA,NA,"Sene,O.","Institut Pasteur, Dakar, Virology",Senegal,2022-10-10,2025-09-25
PV346709,GenBank,NA,Bovine viral diarrhea virus 1,Pestivirus bovis,ARD408047,12064,partial,Senegal,NA,NA,NA,"Sene,O.","Institut Pasteur, Dakar, Virology",Senegal,2022-10-14,2025-09-25
