aln_start	aln_end	length
856	862	3
2239	2244	6
4972	5127	156
14515	14551	33
5140	5367	228
5140	5367	228
5419	5640	222
5677	5898	222
5677	5898	222
5677	5898	222
5677	5898	222
5677	5898	222
5677	5898	222
5677	5898	222
6577	6603	27
6571	6603	33
6571	6603	33
6541	6574	30
6505	6544	36
6505	6544	36
6505	6544	36
6415	6466	48
6415	6466	48
6400	6508	105
6400	6412	9
6493	6508	12
7441	7720	276
7441	7720	276
7441	7720	276
7441	7720	276
7441	7720	276
7441	7720	276
7441	7720	276
7441	7720	276
7408	7777	366
18316	18318	3
7408	7777	366
18316	18318	3
7420	7833	411
7420	7750	327
7393	7780	384
7417	7822	402
7417	7807	387
1996	1998	3
5140	5149	6
5596	5602	3
7417	7744	324
16951	16953	3
19456	19465	6
1996	1998	3
5140	5149	6
5596	5602	3
7417	7744	324
16951	16953	3
19456	19465	6
7429	7720	288
7429	7720	288
7429	7720	288
14392	14631	240
7474	7816	339
7414	7501	84
18454	18456	3
7327	7396	66
7327	7396	66
7327	7396	66
7327	7396	66
7327	7396	66
7327	7396	66
7327	7396	66
7327	7396	66
7261	7330	66
19330	19332	3
7243	7264	18
7243	7258	12
8005	8427	423
4039	4041	3
8200	8427	228
2251	2256	6
3769	3771	3
2251	2256	6
3769	3771	3
2251	2256	6
3769	3771	3
2251	2256	6
3769	3771	3
10675	10681	3
14392	14398	3
19330	19332	3
2239	2244	6
2251	2256	6
3769	3771	3
2251	2256	6
3769	3771	3
2251	2256	6
3769	3771	3
2251	2256	6
3769	3771	3
2251	2256	6
3769	3771	3
2251	2256	6
3769	3771	3
2251	2256	6
3769	3771	3
19330	19332	3
2251	2256	6
3769	3771	3
1996	1998	3
5140	5149	6
5596	5602	3
16951	16953	3
19456	19465	6
1996	1998	3
5140	5149	6
5596	5602	3
16951	16953	3
19456	19465	6
1981	1986	6
19330	19332	3
5140	5149	6
5596	5602	3
16951	16953	3
5140	5149	6
5596	5602	3
16951	16953	3
2251	2256	6
3769	3771	3
19330	19332	3
1996	1998	3
5140	5149	6
5596	5602	3
16951	16953	3
19456	19465	6
15511	15513	3
19330	19332	3
1996	1998	3
5140	5149	6
5596	5602	3
16951	16953	3
19456	19465	6
4750	4758	9
1996	1998	3
5140	5149	6
5596	5602	3
16951	16953	3
19456	19465	6
1996	1998	3
5140	5149	6
5596	5602	3
16951	16953	3
19456	19465	6
2818	2820	3
3226	3228	3
15841	15843	3
17875	17880	6
17902	17910	9
17944	17946	3
17974	17976	3
2959	2967	9
14719	14721	3
15511	15513	3
15550	15552	3
19438	19447	6
1981	1986	3
4966	4968	3
3895	3900	6
1	351	351
2251	2256	6
3769	3771	3
2251	2256	6
3769	3771	3
1996	1998	3
5140	5149	6
5596	5602	3
16951	16953	3
19456	19465	6
2251	2256	6
3769	3771	3
3799	3801	3
19330	19332	3
3799	3801	3
19330	19332	3
4405	4407	3
1972	1974	3
19330	19332	3
19330	19332	3
19330	19332	3
19330	19332	3
19330	19332	3
19330	19332	3
2251	2256	6
3769	3771	3
1996	1998	3
5140	5149	6
5596	5602	3
16951	16953	3
19456	19465	6
1996	1998	3
5140	5149	6
5596	5602	3
16951	16953	3
19456	19465	6
1996	1998	3
5140	5149	6
5596	5602	3
16951	16953	3
19456	19465	6
1996	1998	3
5140	5149	6
5596	5602	3
16951	16953	3
19456	19465	6
1996	1998	3
5140	5149	6
5596	5602	3
16951	16953	3
19456	19465	6
5377	5409	33
5377	5409	33
5377	5409	33
5377	5409	33
5377	5409	33
19330	19332	3
2251	2256	6
3769	3771	3
7840	7851	12
7840	7851	12
19438	19444	3
2251	2256	6
3769	3771	3
3142	3144	3
3484	3486	3
3541	3573	33
3586	3591	6
3673	3678	6
17146	17160	15
17428	17445	18
17527	17529	3
17551	17559	9
17599	17601	3
17701	17709	9
18985	18987	3
19120	19134	15
5140	5149	6
5596	5602	3
16951	16953	3
5140	5149	6
5596	5602	3
16951	16953	3
1996	1998	3
5140	5149	6
5596	5602	3
16951	16953	3
19456	19465	6
1996	1998	3
5140	5149	6
5596	5602	3
16951	16953	3
19456	19465	6
19330	19332	3
19330	19332	3
19330	19332	3
19330	19332	3
2251	2256	6
3769	3771	3
2251	2256	6
3769	3771	3
1996	1998	3
5140	5149	6
5596	5602	3
16951	16953	3
19456	19465	6
3787	3789	3
5140	5149	6
5596	5602	3
16951	16953	3
1996	1998	3
5140	5149	6
5596	5602	3
16951	16953	3
19456	19465	6
1996	1998	3
5140	5149	6
5596	5602	3
16951	16953	3
19456	19465	6
1996	1998	3
5140	5149	6
5596	5602	3
16951	16953	3
19456	19465	6
19330	19332	3
1996	1998	3
5140	5149	6
5596	5602	3
16951	16953	3
19456	19465	6
1996	1998	3
5140	5149	6
5596	5602	3
16951	16953	3
19456	19465	6
1996	1998	3
5140	5149	6
5596	5602	3
16951	16953	3
19456	19465	6
1996	1998	3
5140	5149	6
5596	5602	3
16951	16953	3
19456	19465	6
1996	1998	3
5140	5149	6
5596	5602	3
16951	16953	3
19456	19465	6
2251	2256	6
3769	3771	3
4039	4041	3
17563	17565	3
18631	18657	27
19438	19447	6
19498	19500	3
19330	19332	3
19438	19500	63
9826	9831	6
856	1276	417
1441	1456	12
1477	1944	468
856	1267	408
1456	1944	489
856	1944	1089
856	1944	1089
10675	10780	102
11857	12034	174
12043	14358	2316
10675	11662	984
11818	12034	213
12043	14358	2316
4039	4041	3
10675	10840	162
11191	11806	612
11878	14358	2481
17563	17565	3
18631	18657	27

# кластеры вставок
cluster_start	cluster_end	region_length	insertions_count
856	1944	1089	8
1981	1986	6	2
1996	1998	3	25
2239	2244	6	2
2251	2256	6	22
3769	3771	3	22
3799	3801	3	2
4039	4041	3	3
5140	5367	228	32
5377	5409	33	5
5419	5640	222	31
5677	5898	222	7
6400	6603	204	12
7243	7833	591	33
7840	7851	12	2
8005	8427	423	2
10675	11806	1132	5
11818	14358	2541	5
14392	14631	240	3
15511	15513	3	2
16951	16953	3	30
17563	17565	3	2
18316	18318	3	2
18631	18657	27	2
19330	19332	3	21
19438	19500	63	30

# Общая статистика
Всего вставок	345
Всего кластеров	26

# наиболее вариабельный регион
start	16951
end	16953
length	3
insertions	30
density	10.0000
