#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Cluster_20_aln       -            683 LC860282.1           -           3636         0 1086.6   4.2   1   1         0         0 1086.3   4.2     1   683  1320  2006  1320  2006 0.99 -
Cluster_18_aln       -            717 LC860282.1           -           3636         0 1026.9   0.2   1   1         0         0 1026.3   0.2    10   694  2924  3609  2918  3631 0.95 -
Cluster_56_aln       -            359 LC860282.1           -           3636  6.9e-207  678.8  18.5   1   1  4.4e-207  1.7e-206  677.6  18.5     1   359   924  1282   924  1282 1.00 -
Cluster_23_aln       -            347 LC860282.1           -           3636  1.8e-145  476.6   1.0   1   1  9.6e-146  3.7e-145  475.5   1.0     3   345  2076  2410  2074  2412 0.96 -
Cluster_61_aln       -            220 LC860282.1           -           3636  3.7e-123  401.4   0.0   1   1  1.6e-123  6.2e-123  400.7   0.0     1   219  2413  2631  2413  2632 0.99 -
Cluster_63_aln       -            180 LC860282.1           -           3636   9.8e-92  297.8   0.7   1   1   5.5e-92   2.1e-91  296.7   0.7     1   180     1   180     1   180 0.99 -
Cluster_26_aln       -            227 LC860282.1           -           3636   1.3e-84  275.6   0.3   1   1   6.9e-85   2.7e-84  274.6   0.3     3   212   294   499   292   511 0.95 -
Cluster_27_aln       -            198 LC860282.1           -           3636   4.9e-72  234.2   6.1   1   1   1.3e-72   4.9e-72  234.2   6.1     2   198   503   700   502   700 0.99 -
Cluster_24_aln       -            374 LC860282.1           -           3636   1.2e-55  181.7   7.5   1   1     3e-56   1.2e-55  181.7   7.5   100   372   699   940   695   942 0.89 -
Cluster_11_aln       -            627 LC860282.1           -           3636   2.5e-41  133.8   2.3   1   1   1.1e-41   4.1e-41  133.1   2.3    44   477  1374  1839  1358  1857 0.75 -
Cluster_21_aln       -            629 LC860282.1           -           3636   4.5e-38  123.0   1.2   1   1   1.9e-38   7.1e-38  122.4   1.2   129   486  1471  1845  1371  1862 0.76 -
Cluster_28_aln       -            101 LC860282.1           -           3636   1.2e-31  101.0   3.8   1   1     1e-31     4e-31   99.4   3.8     5    98   189   286   185   289 0.91 -
Cluster_29_aln       -             64 LC860282.1           -           3636     2e-26   84.2   0.1   1   1   1.2e-26   4.7e-26   83.0   0.1     2    61  2009  2068  2008  2072 0.94 -
Cluster_36_aln       -            498 LC860282.1           -           3636   1.4e-20   65.5   0.0   1   1   6.1e-21   2.4e-20   64.8   0.0     1   210  2413  2627  2413  2631 0.88 -
Cluster_19_aln       -            569 LC860282.1           -           3636   1.7e-19   61.7   0.0   1   1   7.2e-20   2.8e-19   61.0   0.0    43   411  3082  3478  3072  3490 0.77 -
Cluster_10_aln       -            594 LC860282.1           -           3636     2e-16   51.7   0.0   1   1   8.9e-17   3.4e-16   50.9   0.0   116   331  3151  3371  3141  3419 0.79 -
Cluster_1_aln        -            621 LC860282.1           -           3636   1.8e-15   48.4   0.2   1   1   7.9e-16     3e-15   47.7   0.2   128   481  1472  1842  1365  1862 0.70 -
Cluster_58_aln       -            487 LC860282.1           -           3636   4.3e-09   27.3   0.0   1   1     2e-09   7.9e-09   26.5   0.0     6   211  2417  2627  2413  2636 0.75 -
Cluster_20_aln       -            683 LC862289.1           -           3636         0 1086.6   4.2   1   1         0         0 1086.3   4.2     1   683  1320  2006  1320  2006 0.99 -
Cluster_18_aln       -            717 LC862289.1           -           3636         0 1027.0   0.2   1   1         0         0 1026.3   0.2    10   694  2924  3609  2918  3631 0.95 -
Cluster_56_aln       -            359 LC862289.1           -           3636  6.9e-207  678.8  18.5   1   1  4.4e-207  1.7e-206  677.6  18.5     1   359   924  1282   924  1282 1.00 -
Cluster_23_aln       -            347 LC862289.1           -           3636  1.8e-145  476.6   1.0   1   1  9.6e-146  3.7e-145  475.5   1.0     3   345  2076  2410  2074  2412 0.96 -
Cluster_61_aln       -            220 LC862289.1           -           3636  7.4e-124  403.7   0.0   1   1  3.2e-124  1.2e-123  403.0   0.0     1   219  2413  2631  2413  2632 0.99 -
Cluster_63_aln       -            180 LC862289.1           -           3636   9.8e-92  297.8   0.7   1   1   5.5e-92   2.1e-91  296.7   0.7     1   180     1   180     1   180 0.99 -
Cluster_26_aln       -            227 LC862289.1           -           3636   1.3e-84  275.6   0.3   1   1   6.9e-85   2.7e-84  274.6   0.3     3   212   294   499   292   511 0.95 -
Cluster_27_aln       -            198 LC862289.1           -           3636   4.9e-72  234.2   6.1   1   1   1.3e-72   4.9e-72  234.2   6.1     2   198   503   700   502   700 0.99 -
Cluster_24_aln       -            374 LC862289.1           -           3636   1.2e-55  181.7   7.5   1   1     3e-56   1.2e-55  181.7   7.5   100   372   699   940   695   942 0.89 -
Cluster_11_aln       -            627 LC862289.1           -           3636   2.5e-41  133.8   2.3   1   1   1.1e-41   4.1e-41  133.1   2.3    44   477  1374  1839  1358  1857 0.75 -
Cluster_21_aln       -            629 LC862289.1           -           3636   4.5e-38  123.0   1.2   1   1   1.9e-38   7.1e-38  122.4   1.2   129   486  1471  1845  1371  1862 0.76 -
Cluster_28_aln       -            101 LC862289.1           -           3636   1.2e-31  101.0   3.8   1   1     1e-31     4e-31   99.4   3.8     5    98   189   286   185   289 0.91 -
Cluster_29_aln       -             64 LC862289.1           -           3636     2e-26   84.2   0.1   1   1   1.2e-26   4.7e-26   83.0   0.1     2    61  2009  2068  2008  2072 0.94 -
Cluster_36_aln       -            498 LC862289.1           -           3636   5.7e-21   66.8   0.0   1   1   2.4e-21   9.3e-21   66.1   0.0     1   210  2413  2627  2413  2631 0.88 -
Cluster_19_aln       -            569 LC862289.1           -           3636   1.7e-19   61.7   0.0   1   1   7.2e-20   2.8e-19   61.0   0.0    43   411  3082  3478  3072  3490 0.77 -
Cluster_10_aln       -            594 LC862289.1           -           3636     2e-16   51.7   0.0   1   1   8.9e-17   3.4e-16   50.9   0.0   116   331  3151  3371  3141  3419 0.79 -
Cluster_1_aln        -            621 LC862289.1           -           3636   1.8e-15   48.4   0.2   1   1   7.9e-16     3e-15   47.7   0.2   128   481  1472  1842  1365  1862 0.70 -
Cluster_58_aln       -            487 LC862289.1           -           3636   1.7e-09   28.6   0.0   1   1   8.2e-10   3.1e-09   27.8   0.0     6   211  2417  2627  2413  2636 0.75 -
Cluster_20_aln       -            683 PQ645167.1           -           3636         0 1096.7   5.8   1   1         0         0 1096.3   5.8     1   683  1320  2006  1320  2006 0.99 -
Cluster_18_aln       -            717 PQ645167.1           -           3636         0 1032.8   0.0   1   1         0         0 1032.2   0.0     9   715  2923  3625  2918  3627 0.96 -
Cluster_56_aln       -            359 PQ645167.1           -           3636  1.8e-211  693.9  18.7   1   1  7.5e-212    3e-211  693.2  18.0     1   359   924  1282   924  1282 1.00 -
Cluster_23_aln       -            347 PQ645167.1           -           3636  3.7e-145  475.5   0.5   1   1  1.9e-145  7.8e-145  474.5   0.5     4   345  2077  2410  2074  2412 0.96 -
Cluster_61_aln       -            220 PQ645167.1           -           3636  2.6e-128  418.3   0.0   1   1  1.1e-128  4.4e-128  417.5   0.0     1   219  2413  2631  2413  2632 0.99 -
Cluster_63_aln       -            180 PQ645167.1           -           3636  5.5e-102  331.2   0.5   1   1    3e-102  1.2e-101  330.1   0.5     1   180     1   180     1   180 1.00 -
Cluster_26_aln       -            227 PQ645167.1           -           3636   1.5e-85  278.7   0.2   1   1   7.4e-86     3e-85  277.7   0.2     3   212   294   499   292   510 0.96 -
Cluster_27_aln       -            198 PQ645167.1           -           3636   5.8e-74  240.5   6.7   1   1   1.4e-74   5.8e-74  240.5   6.7     2   198   503   700   502   700 0.99 -
Cluster_24_aln       -            374 PQ645167.1           -           3636   1.1e-56  185.0   6.9   1   1     2e-56     8e-56  182.2   6.9   100   372   699   940   695   942 0.90 -
Cluster_11_aln       -            627 PQ645167.1           -           3636   9.6e-41  131.9   2.0   1   1   3.9e-41   1.6e-40  131.2   2.0    42   477  1372  1839  1357  1857 0.75 -
Cluster_21_aln       -            629 PQ645167.1           -           3636   4.3e-38  123.1   0.8   1   1   1.7e-38   6.7e-38  122.5   0.8   129   486  1471  1845  1374  1862 0.76 -
Cluster_28_aln       -            101 PQ645167.1           -           3636   1.3e-32  104.2   7.1   1   1     1e-32   4.1e-32  102.5   7.1     3    99   190   287   185   289 0.92 -
Cluster_29_aln       -             64 PQ645167.1           -           3636   3.9e-27   86.4   0.0   1   1   2.2e-27     9e-27   85.3   0.0     1    61  2008  2068  2008  2072 0.94 -
Cluster_36_aln       -            498 PQ645167.1           -           3636   7.6e-19   59.8   0.0   1   1   3.4e-19   1.4e-18   58.9   0.0     1   210  2413  2627  2413  2631 0.89 -
Cluster_19_aln       -            569 PQ645167.1           -           3636   3.9e-18   57.2   0.0   1   1   1.5e-18   6.2e-18   56.5   0.0    43   411  3082  3478  3073  3490 0.76 -
Cluster_10_aln       -            594 PQ645167.1           -           3636   4.8e-17   53.7   0.0   1   1   2.1e-17   8.3e-17   52.9   0.0   118   331  3153  3371  3141  3419 0.79 -
Cluster_1_aln        -            621 PQ645167.1           -           3636   6.8e-16   49.8   0.2   1   1   2.9e-16   1.2e-15   49.0   0.2   119   481  1464  1842  1368  1862 0.73 -
Cluster_58_aln       -            487 PQ645167.1           -           3636     8e-08   23.2   0.0   1   1   3.8e-08   1.5e-07   22.2   0.0     5   210  2416  2626  2413  2635 0.74 -
Cluster_20_aln       -            683 PQ645168.1           -           3636         0 1096.7   5.8   1   1         0         0 1096.3   5.8     1   683  1320  2006  1320  2006 0.99 -
Cluster_18_aln       -            717 PQ645168.1           -           3636         0 1032.8   0.0   1   1         0         0 1032.2   0.0     9   715  2923  3625  2918  3627 0.96 -
Cluster_56_aln       -            359 PQ645168.1           -           3636  5.1e-211  692.4  18.3   1   1  2.1e-211  8.6e-211  691.7  17.6     1   359   924  1282   924  1282 1.00 -
Cluster_23_aln       -            347 PQ645168.1           -           3636  1.9e-145  476.5   0.5   1   1  9.9e-146    4e-145  475.4   0.5     4   345  2077  2410  2074  2412 0.96 -
Cluster_61_aln       -            220 PQ645168.1           -           3636  3.5e-128  417.9   0.0   1   1  1.4e-128  5.8e-128  417.1   0.0     1   219  2413  2631  2413  2632 0.99 -
Cluster_63_aln       -            180 PQ645168.1           -           3636  2.3e-101  329.2   0.6   1   1  1.3e-101  5.1e-101  328.1   0.6     1   180     1   180     1   180 1.00 -
